i,star,start_time,end_time,exposure_time
96,V* V732 Her,2024-10-02 20:48:19.439,2024-10-02 20:48:44.439,25.0
97,V* V732 Her,2024-10-02 20:48:44.439,2024-10-02 20:49:09.439,25.0
98,V* V732 Her,2024-10-02 20:49:09.439,2024-10-02 20:49:34.439,25.0
99,V* V732 Her,2024-10-02 20:49:34.439,2024-10-02 20:49:59.439,25.0
100,V* V732 Her,2024-10-02 20:49:59.439,2024-10-02 20:50:24.439,25.0
101,V* V732 Her,2024-10-02 20:50:24.439,2024-10-02 20:50:49.439,25.0
102,V* V732 Her,2024-10-02 20:50:49.439,2024-10-02 20:51:14.439,25.0
103,V* V732 Her,2024-10-02 20:51:14.439,2024-10-02 20:51:39.439,25.0
104,V* V732 Her,2024-10-02 20:51:39.439,2024-10-02 20:52:04.439,25.0
105,V* V732 Her,2024-10-02 20:52:04.439,2024-10-02 20:52:29.439,25.0
106,V* V732 Her,2024-10-02 20:52:29.439,2024-10-02 20:52:54.439,25.0
107,V* V732 Her,2024-10-02 20:52:54.439,2024-10-02 20:53:19.439,25.0
108,V* V732 Her,2024-10-02 20:53:19.439,2024-10-02 20:53:44.439,25.0
109,V* V732 Her,2024-10-02 20:53:44.439,2024-10-02 20:54:09.439,25.0
110,V* V732 Her,2024-10-02 20:54:09.439,2024-10-02 20:54:34.439,25.0
111,V* V732 Her,2024-10-02 20:54:34.439,2024-10-02 20:54:59.439,25.0
112,V* V732 Her,2024-10-02 20:54:59.439,2024-10-02 20:55:24.439,25.0
113,V* V732 Her,2024-10-02 20:55:24.439,2024-10-02 20:55:49.439,25.0
114,V* V732 Her,2024-10-02 20:55:49.439,2024-10-02 20:56:14.439,25.0
115,V* V732 Her,2024-10-02 20:56:14.439,2024-10-02 20:56:39.439,25.0
116,V* V732 Her,2024-10-02 20:56:39.439,2024-10-02 20:57:04.439,25.0
117,V* V732 Her,2024-10-02 20:57:04.439,2024-10-02 20:57:29.439,25.0
118,V* V732 Her,2024-10-02 20:57:29.439,2024-10-02 20:57:54.439,25.0
119,V* V732 Her,2024-10-02 20:57:54.439,2024-10-02 20:58:19.439,25.0
120,V* V732 Her,2024-10-02 20:58:19.439,2024-10-02 20:58:44.439,25.0
121,V* V732 Her,2024-10-02 20:58:44.439,2024-10-02 20:59:09.439,25.0
122,V* V732 Her,2024-10-02 20:59:09.439,2024-10-02 20:59:34.439,25.0
123,V* V732 Her,2024-10-02 20:59:34.439,2024-10-02 20:59:59.439,25.0
124,V* V732 Her,2024-10-02 20:59:59.439,2024-10-02 21:00:24.439,25.0
125,V* V732 Her,2024-10-02 21:00:24.439,2024-10-02 21:00:49.439,25.0
126,V* V732 Her,2024-10-02 21:00:49.439,2024-10-02 21:01:14.439,25.0
127,V* V732 Her,2024-10-02 21:01:14.439,2024-10-02 21:01:39.439,25.0
128,V* V732 Her,2024-10-02 21:01:39.439,2024-10-02 21:02:04.439,25.0
129,V* V732 Her,2024-10-02 21:02:04.439,2024-10-02 21:02:29.439,25.0
130,V* V732 Her,2024-10-02 21:02:29.439,2024-10-02 21:02:54.439,25.0
131,V* V732 Her,2024-10-02 21:02:54.439,2024-10-02 21:03:19.439,25.0
132,V* V732 Her,2024-10-02 21:03:19.439,2024-10-02 21:03:44.439,25.0
133,V* V732 Her,2024-10-02 21:03:44.439,2024-10-02 21:04:09.439,25.0
134,V* V732 Her,2024-10-02 21:04:09.439,2024-10-02 21:04:34.439,25.0
135,V* V732 Her,2024-10-02 21:04:34.439,2024-10-02 21:04:59.439,25.0
136,V* V732 Her,2024-10-02 21:04:59.439,2024-10-02 21:05:24.439,25.0
137,V* V732 Her,2024-10-02 21:05:24.439,2024-10-02 21:05:49.439,25.0
138,V* V732 Her,2024-10-02 21:05:49.439,2024-10-02 21:06:14.439,25.0
139,V* V732 Her,2024-10-02 21:06:14.439,2024-10-02 21:06:39.439,25.0
140,V* V732 Her,2024-10-02 21:06:39.439,2024-10-02 21:07:04.439,25.0
141,V* V732 Her,2024-10-02 21:07:04.439,2024-10-02 21:07:29.439,25.0
142,V* V732 Her,2024-10-02 21:07:29.439,2024-10-02 21:07:54.439,25.0
143,V* V732 Her,2024-10-02 21:07:54.439,2024-10-02 21:08:19.439,25.0
144,V* V732 Her,2024-10-02 21:08:19.439,2024-10-02 21:08:44.439,25.0
145,V* V732 Her,2024-10-02 21:08:44.439,2024-10-02 21:09:09.439,25.0
146,V* V732 Her,2024-10-02 21:09:09.439,2024-10-02 21:09:34.439,25.0
147,V* V732 Her,2024-10-02 21:09:34.439,2024-10-02 21:09:59.439,25.0
